Epoch,Train Accuracy,Validation Accuracy,Train Loss,Validation Loss
1,0.11653543307086614,0.11562678878076703,2.302481945833822,2.300212163034001
2,0.10608446671438797,0.10188895248998282,2.300034194436343,2.2996431515103555
3,0.10279169649248389,0.13394390383514596,2.299383197470401,2.299091865069264
4,0.13271295633500357,0.14081282198053807,2.298765653669621,2.2985183745639692
5,0.1427344309234073,0.15397824842587293,2.2981310939157362,2.2979039986063974
6,0.16607015032211883,0.15397824842587293,2.2974577407481935,2.297226356424191
7,0.16735862562634216,0.15455065827132228,2.2967242091587807,2.29645183666952
8,0.168790264853257,0.15684029765311963,2.2959012417366615,2.2955428325986613
9,0.17050823192555475,0.16141957641671437,2.294964225400749,2.2944834614468768
10,0.17551896921975663,0.17515741270749857,2.293921702364469,2.2933179612820256
11,0.18954903364352182,0.19061247853463079,2.2927727098680006,2.292050662855455
12,0.2085898353614889,0.227819118488838,2.2914745765862166,2.2906072541162086
13,0.24137437365783823,0.2575844304522038,2.2899537820447406,2.288934269067418
14,0.2728704366499642,0.21350887235260446,2.2882713355123783,2.2870395107370274
15,0.2501073729420186,0.17515741270749857,2.2862765010149033,2.2850207533628923
16,0.2094488188976378,0.15970234688036633,2.284040258714448,2.283001041389153
17,0.19742304939155333,0.17401259301659988,2.2817694517339056,2.2809242496411324
18,0.20730136005726557,0.20206067544361764,2.2795517466319146,2.2787170979290194
19,0.2241947029348604,0.24327418431597023,2.277425587751734,2.2762769176145246
20,0.2545454545454545,0.3033772180881511,2.27525767232387,2.2727800971245724
21,0.3026485325697924,0.29708070978820833,2.271988439631616,2.2679008373984897
22,0.325411596277738,0.30795649685174586,2.2673963276713596,2.260126504739762
23,0.3404438081603436,0.31253577561534057,2.2608324899775862,2.254163376336515
24,0.3514674302075877,0.25414997137950773,2.254504256172358,2.2554139192089324
25,0.33228346456692914,0.31711505437893533,2.2507011891708433,2.2413909500397198
26,0.3619183965640659,0.3365769891242129,2.2411367977216745,2.230558633223628
27,0.3725125268432355,0.3056668574699485,2.23031518434642,2.2343191949585606
28,0.36449534717251253,0.3657698912421294,2.227783773223588,2.217758479970622
29,0.3994273443092341,0.3583285632512879,2.217023998253672,2.216130074286502
30,0.38668575518969217,0.4012593016599886,2.214259748592834,2.202326308927607
31,0.4269148174659986,0.3262736119061248,2.2019050005736656,2.2095308990245144
32,0.3882605583392985,0.37378362907842017,2.198626725593122,2.1876424542275847
33,0.41818181818181815,0.3686319404693761,2.1848849035940945,2.1852828700970974
34,0.400286327845383,0.386949055523755,2.18224923215718,2.1753997968003347
35,0.4148890479599141,0.3566113337149399,2.172885248290699,2.176527672474495
36,0.40486757337151036,0.3921007441327991,2.169742007158958,2.16402830822985
37,0.4227630637079456,0.3978248425872925,2.1614137329997214,2.1581367096132595
38,0.4227630637079456,0.40526617057813397,2.154618029838643,2.1523655786723084
39,0.43550465282748746,0.40526617057813397,2.1471763499501613,2.1480175214729513
40,0.4322118826055834,0.41499713795077275,2.1412576785058572,2.1404003744078963
41,0.4408017179670723,0.42186605609616484,2.1361906585051664,2.135398650636793
42,0.4440944881889764,0.42873497424155693,2.1313243787223817,2.1284307010029138
43,0.44967788117394414,0.42472810532341154,2.123592894765592,2.1256920493201794
44,0.44595561918396565,0.4384659416141958,2.119875850293324,2.1162721515179497
45,0.4604151753758053,0.44476244991413855,2.11079286385982,2.112006375245114
46,0.4574087329992842,0.44762449914138525,2.107141321985399,2.1057378257112496
47,0.4651395848246242,0.44819690898683456,2.1002357693797107,2.0999455346144056
48,0.4645669291338583,0.45907269605037204,2.096012389705108,2.092990810965973
49,0.478453829634932,0.4619347452776188,2.088502331839516,2.088657105010649
50,0.48146027201145314,0.4722381224957069,2.0845352696894577,2.08282956702817
51,0.49262705798138867,0.4716657126502576,2.0785306726872457,2.0788928756395886
52,0.4959198282032928,0.47681740125930167,2.073681349677193,2.0733400282780647
53,0.5010737294201861,0.47681740125930167,2.068992873090971,2.069257169663736
54,0.5023622047244094,0.48082427017744706,2.063871724020522,2.0651125922780347
