Epoch,Train Accuracy,Validation Accuracy,Train Loss,Validation Loss,Macro Precision,Macro F1,Micro F1
1,0.049105225483178236,0.09215798511734402,2.3034475193160215,2.2996326438126458,0.49564332506519115,0.49564332506519115,0.8184315970234688
2,0.10637079455977094,0.09215798511734402,2.299038596244053,2.299071380393329,0.49564332506519115,0.49564332506519115,0.8184315970234688
3,0.10637079455977094,0.09215798511734402,2.2984537362656425,2.298502589801959,0.49564332506519115,0.49564332506519115,0.8184315970234688
4,0.10651395848246242,0.09215798511734402,2.29786344433138,2.297916027320475,0.49564332506519115,0.49564332506519115,0.8184315970234688
5,0.10708661417322834,0.09387521465369204,2.2972553602671235,2.297304038776284,0.49659734147427337,0.49659734147427337,0.8187750429307384
6,0.10751610594130279,0.09444762449914139,2.2966216006081024,2.296654698574413,0.49691534694396744,0.49691534694396744,0.8188895248998282
7,0.10794559770937724,0.09502003434459072,2.2959508291058826,2.295944862115977,0.4972333524136615,0.4972333524136615,0.8190040068689182
8,0.10808876163206872,0.09559244419004007,2.295224072544423,2.2951306819547295,0.4975513578833556,0.4975513578833556,0.819118488838008
9,0.10808876163206872,0.09559244419004007,2.294421973867765,2.2941614660741805,0.4975513578833556,0.4975513578833556,0.819118488838008
10,0.10851825340014316,0.09730967372638809,2.293510929652087,2.2930868967178553,0.49850537429243785,0.49850537429243785,0.8194619347452776
11,0.10923407301360057,0.11161991986262164,2.2925576864169512,2.291986420431612,0.5064555110347898,0.5064555110347898,0.8223239839725244
12,0.11496062992125984,0.1551230681167716,2.291582148515419,2.2908100029653866,0.5306239267315398,0.5306239267315398,0.8310246136233544
13,0.1388690050107373,0.19061247853463079,2.2905500240868646,2.289515023257436,0.5503402658525727,0.5503402658525727,0.8381224957069262
14,0.17766642806012883,0.1986262163709216,2.2893714112644976,2.2880498528084754,0.5547923424282898,0.5547923424282898,0.8397252432741843
15,0.21589119541875448,0.19118488838008013,2.287993507131305,2.286367767707375,0.5506582713222667,0.5506582713222667,0.838236977676016
16,0.21875447387258412,0.1866056096164854,2.2865642064394236,2.284394220809085,0.5481142275647141,0.5481142275647142,0.8373211219232971
17,0.21832498210450965,0.19519175729822552,2.2847216526374874,2.2819364841174044,0.5528843096101252,0.5528843096101252,0.8390383514596451
18,0.2297780959198282,0.22266742987979393,2.282480571198993,2.2784722015880896,0.5681485721554411,0.5681485721554411,0.8445334859759588
19,0.2448103078024338,0.24098454493417287,2.279672178408378,2.2731883712106935,0.5783247471856516,0.5783247471856516,0.8481969089868345
20,0.24982104509663564,0.24384659416141957,2.275575036894021,2.266747769221757,0.579914774534122,0.579914774534122,0.8487693188322839
21,0.25926986399427343,0.2484258729250143,2.270083531824111,2.260749636938317,0.5824588182916747,0.5824588182916747,0.8496851745850028
22,0.2594130279169649,0.2329708070978821,2.2636142414587264,2.2576620437509347,0.5738726706099345,0.5738726706099345,0.8465941614195764
23,0.2385110952040086,0.24785346307956496,2.259684940172249,2.2542269608308465,0.5821408128219805,0.5821408128219805,0.849570692615913
24,0.2698639942734431,0.2638809387521465,2.2526820164839543,2.2449326908335934,0.5910449659734147,0.5910449659734147,0.8527761877504292
25,0.27988546886184684,0.2615912993703492,2.2442835265076324,2.240259090297619,0.5897729440946384,0.5897729440946384,0.8523182598740698
26,0.26700071581961343,0.2650257584430452,2.2415600467573005,2.234718360550143,0.5916809769128029,0.5916809769128029,0.853005151688609
27,0.29949892627057983,0.23125357756153406,2.2319349256836696,2.2365398991749363,0.5729186542008522,0.5729186542008523,0.8462507155123068
28,0.28919112383679313,0.25472238122495705,2.2289499617095667,2.2249993411909186,0.5859568784583095,0.5859568784583095,0.8509444762449914
29,0.3010737294201861,0.25701202060675443,2.2181789884864216,2.2173776428680387,0.5872289003370859,0.5872289003370859,0.8514024041213509
30,0.278167501789549,0.28506010303377216,2.214630563349236,2.2095745993711366,0.6028111683520956,0.6028111683520956,0.8570120206067545
31,0.30994989262705797,0.30509444762449917,2.205773313958217,2.20689245048631,0.6139413597913884,0.6139413597913884,0.8610188895248998
32,0.34402290622763065,0.3732112192329708,2.2022262451414902,2.1948349918026753,0.6517840106849838,0.6517840106849838,0.8746422438465941
33,0.3926986399427344,0.39324556382369774,2.1928403283295332,2.1878168922263552,0.6629142021242765,0.6629142021242765,0.8786491127647396
